Date,AAPL,AMD,AMZN,AVGO,CRM,CSCO,GOOGL,INTC,META,MSFT,NVDA,ORCL,TSLA,TXN
2020-04-16,0.022963363069838483,0.0437770868596154,0.24082314616637457,0.00412955770407622,0.11934510959195821,0.13410682329311907,0.015448371199137445,0.8135090524052311,0.13425067040336655,0.02900919588219164,0.004396800300549647,0.015453512462903718,0.008983012504825333,0.031484138051563804
2020-04-17,0.01808732651751399,0.04160989007601684,0.23046680477724657,0.0070753645437435925,0.14239343211137312,0.15939510777565657,0.022809132034407764,0.8048369379775142,0.13884657747938137,0.03391735793861206,0.00398139330591505,0.021402113424935476,0.010316104296157966,0.04643068233260894
2020-04-20,0.010729589633391101,0.04390092870042811,0.2362736958670193,0.004125663648428701,0.14297367120517324,0.1609433794503281,0.016717800755541634,0.7810392000037145,0.13730951058345034,0.0227794975493798,0.0030615193770710813,0.01681134557989622,0.009159625592557272,0.03245306467723297
2020-04-21,0.0,0.018823511015629013,0.21583873562305012,0.0,0.09240017704045267,0.10959278930073646,0.0,0.7241662514140754,0.12587342370640373,0.0,0.0,0.0,0.0,0.0
2020-04-22,0.00968925921499264,0.03739936197004856,0.22687531391383242,0.0047815975576079445,0.10724061367865256,0.14081584767960176,0.015782797845658336,0.7995931906010043,0.1435194003471438,0.017934081882885256,0.002904433990084644,0.006207248489383421,0.006971089148490109,0.035566895199119486
2020-04-23,0.008348060510818767,0.03727554374965175,0.23809600896101535,0.004377953037756177,0.09720893719826007,0.13720313733682254,0.020137119633834244,0.778215670428581,0.14790016000322745,0.01132680175681866,0.002530902175082776,0.004267471716170423,0.0029042338051106786,0.02504906226447401
2020-04-24,0.018300476033919932,0.03900928228019784,0.241456580179086,0.0066600799093860935,0.10657742868013931,0.16042698315125237,0.021990173915197697,0.7826523603090354,0.155493450033567,0.021174774928047313,0.0035048810280101303,0.010992041820898801,0.005902156823950261,0.04906014056627028
2020-04-27,0.018551179902171866,0.040928795382170924,0.2307788557783974,0.008072781060699377,0.12170798486523926,0.17436154287611294,0.02003138179706665,0.7868876980665898,0.15154307947689435,0.0196016512081163,0.004812217319564938,0.013319763324497746,0.017205789900255328,0.061861477535733456
2020-04-28,0.01279775862387611,0.03486066328442783,0.2114578328586466,0.006629019979566886,0.10856711108874317,0.15965296196673617,0.006971738724787568,0.7723672591554136,0.1444877993857058,0.00626119692024063,0.003813819075259031,0.012220577734856963,0.012655153371642025,0.05120516582863355
2020-04-29,0.024266968015711154,0.023405564644035537,0.2297522394087277,0.011010850251995843,0.1333149964698619,0.18158661960321298,0.044369317621315185,0.8338782497484074,0.16182632494344015,0.0302362363962968,0.005053099846260081,0.016617373214703246,0.017476092201716226,0.08691029706791542
